session,start_index,end_index,start_ts,end_ts
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,0,255,2025-08-01T00:00:00+00:00,2025-08-01T00:01:24.670000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,32,287,2025-08-01T00:00:06.155000+00:00,2025-08-01T00:01:38.262000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,64,319,2025-08-01T00:00:10.690000+00:00,2025-08-01T00:01:45.324000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,96,351,2025-08-01T00:00:22.620000+00:00,2025-08-01T00:02:00.364000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,128,383,2025-08-01T00:00:32.446000+00:00,2025-08-01T00:02:22.741000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,160,415,2025-08-01T00:00:45.519000+00:00,2025-08-01T00:02:40.094000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,192,447,2025-08-01T00:00:59.527000+00:00,2025-08-01T00:03:02.727000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,224,479,2025-08-01T00:01:08.243000+00:00,2025-08-01T00:03:51.186000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,256,511,2025-08-01T00:01:24.771000+00:00,2025-08-01T00:04:06.501000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,288,543,2025-08-01T00:01:38.313000+00:00,2025-08-01T00:04:32.091000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,320,575,2025-08-01T00:01:45.726000+00:00,2025-08-01T00:04:56.548000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,352,607,2025-08-01T00:02:03.030000+00:00,2025-08-01T00:05:13.696000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,384,639,2025-08-01T00:02:22.792000+00:00,2025-08-01T00:05:29.448000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,416,671,2025-08-01T00:02:40.196000+00:00,2025-08-01T00:05:42.507000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,448,703,2025-08-01T00:03:03.431000+00:00,2025-08-01T00:06:03.992000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,480,735,2025-08-01T00:03:51.287000+00:00,2025-08-01T00:06:37.608000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,512,767,2025-08-01T00:04:07.105000+00:00,2025-08-01T00:07:00.171000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,544,799,2025-08-01T00:04:35.303000+00:00,2025-08-01T00:07:12.404000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,576,831,2025-08-01T00:05:00.157000+00:00,2025-08-01T00:07:19.011000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,608,863,2025-08-01T00:05:14.048000+00:00,2025-08-01T00:07:28.296000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,640,895,2025-08-01T00:05:29.600000+00:00,2025-08-01T00:07:43.038000+00:00
XAUUSD_Ticks_01.08.2025-01.08.2025.csv,672,927,2025-08-01T00:05:42.810000+00:00,2025-08-01T00:08:00.704000+00:00
